date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:52	1044/1044	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Feb%202024%2015:29:53%20GMT	https://bonkai.xyz/robots.txt		(from )
22:29:53	413931/413931	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2015:29:53%20GMT	https://bonkai.xyz/	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/index.html	(from )
22:29:53	152839/152839	---M-Z	200	added ('OK')	image/x-icon	etag:%2225507-6594bb3d-1a3102;gz%22	https://bonkai.xyz/public/uploads/20240103/0176ff8fae3f4ae6e3fdec2946093a99.ico	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/uploads/20240103/0176ff8fae3f4ae6e3fdec2946093a99.ico	(from https://bonkai.xyz/)
22:29:53	10294/10294	---M--	200	added ('OK')	image/png	etag:%222836-65114bf8-197ed8;;;%22	https://bonkai.xyz/public/dist/img/default-image.png	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/dist/img/default-image.png	(from https://bonkai.xyz/)
22:29:53	12227/12227	---M-Z	200	added ('OK')	text/css	etag:%222fc3-6582c708-184d51;gz%22	https://bonkai.xyz/public/assets/chat/css/chat-widget.min.css	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/assets/chat/css/chat-widget.min.css	(from https://bonkai.xyz/)
22:29:54	15847/15847	---M-Z	200	added ('OK')	text/css	etag:%223de7-65114bf6-184dc5;gz%22	https://bonkai.xyz/public/assets/plugin/jquery-ui/jquery-ui.min.css	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/assets/plugin/jquery-ui/jquery-ui.min.css	(from https://bonkai.xyz/)
22:29:54	30716/30716	---M-Z	200	added ('OK')	text/css	etag:%2277fc-65114bf6-184dc3;gz%22	https://bonkai.xyz/public/assets/plugin/jquery-ui/jquery-ui-theme.min.css	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/assets/plugin/jquery-ui/jquery-ui-theme.min.css	(from https://bonkai.xyz/)
22:29:54	60608/60608	---M-Z	200	added ('OK')	text/css	etag:%22ecc0-6582ef96-184d58;gz%22	https://bonkai.xyz/public/assets/css/common/tailwind-custom.min.css	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/assets/css/common/tailwind-custom.min.css	(from https://bonkai.xyz/)
22:29:54	320095/320095	---M-Z	200	added ('OK')	text/css	etag:%224e25f-6583cadc-184e52;gz%22	https://bonkai.xyz/public/assets/tailwind/css/app.min.css	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/assets/tailwind/css/app.min.css	(from https://bonkai.xyz/)
22:29:55	5404/5404	---M-Z	200	added ('OK')	text/css	etag:%22151c-6555bc08-197e40;gz%22	https://bonkai.xyz/public/dist/css/site_custom.min.css	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/dist/css/site_custom.min.css	(from https://bonkai.xyz/)
22:29:55	45643/45643	---M-Z	200	added ('OK')	text/css	etag:%22b24b-6555bc08-184e4b;gz%22	https://bonkai.xyz/public/assets/plugin/wow-js-animation/animation.min.css	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/assets/plugin/wow-js-animation/animation.min.css	(from https://bonkai.xyz/)
22:29:55	16506/16506	---M-Z	200	added ('OK')	text/css	etag:%22407a-65114bf6-184dc8;gz%22	https://bonkai.xyz/public/assets/plugin/swiper/swiper-bundle.min.css	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/assets/plugin/swiper/swiper-bundle.min.css	(from https://bonkai.xyz/)
22:29:55	0/0	---M--	200	added ('OK')	text/css	etag:%220-6594c078-195863;;;%22	https://bonkai.xyz/Modules/CMS/Resources/assets/css/user-custom.css?v=1708097393	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/Modules/CMS/Resources/assets/css/user-custom2490.css	(from https://bonkai.xyz/)
22:29:57	183299/183299	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2015:29:58%20GMT	https://bonkai.xyz/login	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/login.html	(from https://bonkai.xyz/)
22:29:57	4107/4107	---M--	200	added ('OK')	image/png	etag:%22100b-6555bc06-195d2b;;;%22	https://bonkai.xyz/Modules/OpenAI/Resources/assets/image/chat-robot.png	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/Modules/OpenAI/Resources/assets/image/chat-robot.png	(from https://bonkai.xyz/)
22:29:58	17463/17463	---M--	200	added ('OK')	image/png	etag:%224437-6594bf3e-1a311c;;;%22	https://bonkai.xyz/public/uploads/20230330/cabdcd95ee758d5c09e9b516e80a8bd5.png	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/uploads/20230330/cabdcd95ee758d5c09e9b516e80a8bd5.png	(from https://bonkai.xyz/)
22:30:00	267416/267416	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2015:30:00%20GMT	https://bonkai.xyz/use-cases	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/use-cases.html	(from https://bonkai.xyz/)
22:30:02	418572/418572	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2015:30:02%20GMT	https://bonkai.xyz/pricing	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/pricing.html	(from https://bonkai.xyz/)
22:30:03	766/766	---M--	200	added ('OK')	image/png	etag:%222fe-6555bc06-195d60;;;%22	https://bonkai.xyz/Modules/OpenAI/Resources/assets/image/moon.png	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/Modules/OpenAI/Resources/assets/image/moon.png	(from https://bonkai.xyz/)
22:30:04	248142/248142	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2015:30:04%20GMT	https://bonkai.xyz/blogs	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/blogs.html	(from https://bonkai.xyz/)
22:30:04	666/666	---M--	200	added ('OK')	image/png	etag:%2229a-6555bc06-195d80;;;%22	https://bonkai.xyz/Modules/OpenAI/Resources/assets/image/sun.png	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/Modules/OpenAI/Resources/assets/image/sun.png	(from https://bonkai.xyz/)
22:30:04	849/849	---M-Z	200	added ('OK')	image/svg+xml	etag:%22351-65114bf6-197b14;gz%22	https://bonkai.xyz/public/datta-able/fonts/flag/flags/4x3/gb.svg	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/datta-able/fonts/flag/flags/4x3/gb.svg	(from https://bonkai.xyz/)
22:30:04	197/197	---M--	200	added ('OK')	image/svg+xml	etag:%22c5-65114bf6-197ad4;;;%22	https://bonkai.xyz/public/datta-able/fonts/flag/flags/4x3/bd.svg	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/datta-able/fonts/flag/flags/4x3/bd.svg	(from https://bonkai.xyz/)
22:30:04	302/302	---M-Z	200	added ('OK')	image/svg+xml	etag:%2212e-65114bf6-197b0e;gz%22	https://bonkai.xyz/public/datta-able/fonts/flag/flags/4x3/fr.svg	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/datta-able/fonts/flag/flags/4x3/fr.svg	(from https://bonkai.xyz/)
22:30:05	815/815	---M-Z	200	added ('OK')	image/svg+xml	etag:%2232f-65114bf6-197af1;gz%22	https://bonkai.xyz/public/datta-able/fonts/flag/flags/4x3/cn.svg	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/datta-able/fonts/flag/flags/4x3/cn.svg	(from https://bonkai.xyz/)
22:30:05	10329/10329	---M-Z	200	added ('OK')	image/svg+xml	etag:%222859-65114bf6-197b88;gz%22	https://bonkai.xyz/public/datta-able/fonts/flag/flags/4x3/sa.svg	D:/LapTrinh%20Html/Project/bonkai.xyz/bonkai.xyz/public/datta-able/fonts/flag/flags/4x3/sa.svg	(from https://bonkai.xyz/)
