date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:33:49	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://goldenbull.site/robots.txt		(from )
22:33:49	162159/162159	---M-Z	200	added ('OK')	text/html	etag:%222796f-65cea069-f33c987ef4260210;gz%22	https://goldenbull.site/	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/index.html	(from )
22:33:50	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://goldenbull.site/as=	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/as=	(from https://goldenbull.site/)
22:33:50	18597/18597	---M-Z	200	added ('OK')	application/x-javascript	etag:%2248a5-65ce9ec9-5aeb6cc46b5228fe;gz%22	https://goldenbull.site/js/wp-emoji-release.min.js	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/js/wp-emoji-release.min.js	(from https://goldenbull.site/)
22:33:50	97517/97517	---M-Z	200	added ('OK')	text/css	etag:%2217ced-65ce9ec9-88eae5f680faf09a;gz%22	https://goldenbull.site/css/style.min.css	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/css/style.min.css	(from https://goldenbull.site/)
22:33:51	291/291	---M--	200	added ('OK')	text/css	etag:%22123-65ce9ec9-42820999b413db1;;;%22	https://goldenbull.site/css/classic-themes.min.css	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/css/classic-themes.min.css	(from https://goldenbull.site/)
22:33:51	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://goldenbull.site/index_1.html	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/index_1.html	(from https://goldenbull.site/)
22:33:51	1903/1903	---M-Z	200	added ('OK')	text/css	etag:%2276f-65ce9ec9-90da0273115c5146;gz%22	https://goldenbull.site/css/copy-the-code.css	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/css/copy-the-code.css	(from https://goldenbull.site/)
22:33:51	52167/52167	---M-Z	200	added ('OK')	text/css	etag:%22cbc7-65ce9ec9-3cd667d58bf084f9;gz%22	https://goldenbull.site/css/bootstrap.min.css	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/css/bootstrap.min.css	(from https://goldenbull.site/)
22:33:52	3654/3654	---M-Z	200	added ('OK')	text/css	etag:%22e46-65ce9ec9-8ce509cd65413062;gz%22	https://goldenbull.site/css/style.css	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/css/style.css	(from https://goldenbull.site/)
22:33:52	386/386	---M-Z	200	added ('OK')	text/css	etag:%22182-65ce9ec9-d0e9d9e48fdd079d;gz%22	https://goldenbull.site/css/typography.css	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/css/typography.css	(from https://goldenbull.site/)
22:33:52	105535/105535	---M-Z	200	added ('OK')	text/css	etag:%2219c3f-65ce9ec9-7c75e96d0b2a8559;gz%22	https://goldenbull.site/css/frontend-lite.min.css	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/css/frontend-lite.min.css	(from https://goldenbull.site/)
22:33:53	186513/186513	---M--	200	added ('OK')	image/png	etag:%222d891-65ce9ec9-7319089281e45b75;;;%22	https://goldenbull.site/images/Ellipse-2467.png	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/images/Ellipse-2467.png	(from https://goldenbull.site/)
22:33:53	182345/182345	---M--	200	added ('OK')	image/png	etag:%222c849-65ce9ec9-d65fb2ca8669aec1;;;%22	https://goldenbull.site/images/Ellipse-2466.png	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/images/Ellipse-2466.png	(from https://goldenbull.site/)
22:33:54	21593/21593	---M--	200	added ('OK')	image/png	etag:%225459-65ce9ec9-1eae8fcbbffbe6e3;;;%22	https://goldenbull.site/images/com-background.png	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/images/com-background.png	(from https://goldenbull.site/)
22:33:54	19401/19401	---M-Z	200	added ('OK')	text/css	etag:%224bc9-65ce9ec9-67aa6de54b8279be;gz%22	https://goldenbull.site/css/elementor-icons.min.css	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/css/elementor-icons.min.css	(from https://goldenbull.site/)
22:33:54	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-65ce9ec9-8a6f92bdcc9c113;gz%22	https://goldenbull.site/css/swiper.min.css	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/css/swiper.min.css	(from https://goldenbull.site/)
22:33:55	420/420	---M-Z	200	added ('OK')	text/css	etag:%221a4-65ce9ec9-cfc22b312649e253;gz%22	https://goldenbull.site/css/style_1.css	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/css/style_1.css	(from https://goldenbull.site/)
22:33:55	481038/481038	---M-Z	200	added ('OK')	text/css	etag:%227570e-65ce9ec9-621e181159f2b27f;gz%22	https://goldenbull.site/css/theme-elementor.min.css	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/css/theme-elementor.min.css	(from https://goldenbull.site/)
22:33:55	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%22e238-65ce9ec9-fc8c39b9f5ce6527;gz%22	https://goldenbull.site/css/fontawesome.min.css	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/css/fontawesome.min.css	(from https://goldenbull.site/)
22:33:55	656/656	---M-Z	200	added ('OK')	text/css	etag:%22290-65ce9ec9-d779b84f4ec4164;gz%22	https://goldenbull.site/css/brands.min.css	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/css/brands.min.css	(from https://goldenbull.site/)
22:33:56	89815/89815	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215ed7-65ce9ec9-1052369fa16bd71d;gz%22	https://goldenbull.site/js/jquery.min.js	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/js/jquery.min.js	(from https://goldenbull.site/)
22:33:56	13424/13424	---M-Z	200	added ('OK')	application/x-javascript	etag:%223470-65ce9ec9-ce45e2542c048651;gz%22	https://goldenbull.site/js/jquery-migrate.min.js	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/js/jquery-migrate.min.js	(from https://goldenbull.site/)
22:33:56	279584/279584	---M-Z	200	added ('OK')	application/x-javascript	etag:%2244420-65ce9ec9-d224f77ef6ea23e6;gz%22	https://goldenbull.site/js/lottie.min.js	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/js/lottie.min.js	(from https://goldenbull.site/)
22:33:58	5615/5615	---M--	200	added ('OK')	image/png	etag:%2215ef-65ce9ec9-1f6241eea739c3e2;;;%22	https://goldenbull.site/images/textlogo.png	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/images/textlogo.png	(from https://goldenbull.site/)
22:33:58	581828/581828	---M--	200	added ('OK')	image/png	etag:%228e0c4-65ce9f02-5e2adf328321445d;;;%22	https://goldenbull.site/images/torofavicon.png	D:/LapTrinh%20Html/Project/goldenbull.site/goldenbull.site/images/torofavicon.png	(from https://goldenbull.site/)
